Sentence,Sign Language
මකුළුවා ඔහුට උදව් කළ ආකාරය ඉර දැනගෙන සිටියා,මකුළුවා ඔහු උදව්කරනවා ආකාරය ඉර දන්නවා ඉන්නවා
ඒ නිසා ඉක්මනින් හිරු කිරණත් පහළට එව්වා,ඒ නිසා ඉක්මනින් හිරුකිරණ පහළ එනවා
මකුළුවාගේ කටින් එළියට ඇදුනු නූල් පොටේ කෙළවර එම කිරණයෙන් අල්ලා ගත්තා,මකුළුවා කට එළිය ඇදුනු නූල් පොට කෙළවර ඒ කිරණ අල්ලාගන්නවා
ඊට පස්සේ හිමීට මකුලුවා ඉහළට ඇද ගත්තා,ඊට පස්සේ සෙමින් මකුලුවා ඉහළ ඇදගන්නවා
දැන් මකුළුවා ඉන්නෙ සර්පයාට ළං වෙන්න බැරි තරම් උඩ,දැන් මකුළුවා ඉන්නවා සර්පයා ළඟ බෑ උඩ
ඇඟේ තිබුණු කපු පුළුන් වලින් මකුළුවා ඉහළ අහසේ ලස්සන සුදු වළාකුළු රාශියක් ගොතාගෙන ගියා,ඇඟේ තියෙනවා කපු පුළුන් මකුළුවා ඉහළ අහස ලස්සන සුදු වළාකුළු ගොඩාක් ගොතනවා යනවා
වළාකුලු සුදුම සුදු පාටට සුමුදුවට තියෙන්නේ ඒ නිසාලු,වළාකුලු සුදු සුදු පාට සුමුදු තියෙනවා ඒ
මකුළුවා නූල් ලබා ගත්තේ මොනවයින් ද,මකුළුවා නූල් ලබාගන්නවා මොනවාද
මකුළුවා ගොවියාට කලගුණ සැලකුවේ කෙසේද,මකුළුවා ගොවියා කලගුණ සලකනවා කෙසේද
සර්පයා ගොවියාගේ රෙදි වියන කාමරයට පැමිණියේ කෙසේද,සර්පයා ගොවියා රෙදිවියනවා කාමරය පැමිණියා කෙසේද
ඉර මකුළුවාට උදව් කළේ ඇයි,ඉර මකුලුවා උදව්කරනවා ඇයි
ඒ අවලස්සන ගැහැණු ළමයෙක් හිටගෙන හිටියා,ඒ අවලස්සන ගැහැණු ළමයා හිටගන්නවා ඉන්නවා
මකුළුවා කලබල නොදන්න අයෙක්,මකුළුවා කලබල නොදන්න අයෙක්
මහලු ගොවියෙක් හිටියා,මහලු ගොවියා ඉන්නවා
සර්පයා හෙමින් මකුළුවා පස්සේ පැන්නුවා,සර්පයා හෙමින් මකුළුවා පස්සේ පන්නනවා
ඉර මකුළුවා පහළට ඇද ගත්තා,ඉර මකුළුවා පහළ ඇදගන්නවා
ආච්චිලා මුනුබුරු මිනිබිරියන්ට හරිම ආදරෙයි,ආච්චිලා මුනුබුරු මිනිබිරියන් ගොඩාක් ආදරය
දවසක් ආච්චී කෙනෙකු ලියුමක් ලියන හැටි මුනුබුරා බලාගෙන හිටියා,දවස ආච්චී ලියුම ලියනවා හැටි මුනුබුරා බලනවා ඉන්නවා
ආච්චී ලිව්වේ ලස්සන පැන්සලකින්,ආච්චී ලිව්වේ ලස්සන පැන්සලකින්
ආච්චී ලියන හැටි බලාගෙන සිටි මුණුපුරා ආච්චීගෙන් මෙහෙම ඇහුවා,ආච්චී ලියන හැටි බලාගෙන සිටි මුණු පුරා ආච්චීගෙන් මෙහෙම ඇහුවා
ආච්චී ලියන්නෙ අපි කරපු දේවල් ගැන ද,ආච්චී ලියනවා අපි කරනවා දේවල් ගැන ද
මං ගැනත් ලියනවා ද,මං ගැන ලියනවා ද
ආච්චි ලිවීම නවත්තලා මුනුබුරාට මෙහෙම කිව්වා,ආච්චි ලියනවා නවත්තනවා මුනුබුරා මෙහෙම කියනවා
ඇත්තටම මම ලියන්නේ ඔයා ගැන තමා,ඇත්තට මම ලියනවා ඔයා ගැන තමා
ඒත් ඒ ලියන වචන වලට වැඩිය මං පාවිච්චි කරන මේ පැන්සල වටිනවා,ඒත් ඒ ලියනවා වචන වැඩිය මම පාවිච්චිකරනවා මේ පැන්සල වටිනවා
ඔයා ලොකු උනාම මේ පැන්සල වගේ වෙයි කියලා මම හිතනවා,ඔයා ලොකු උනාම මේ පැන්සල වගේ වෙයි කියලා මම හිතනවා
මොකක්ද ඒ කතාවේ තේරුම,මොකක්ද ඒ කතාවේ තේරුම
මුනුබුරා පුදුම වෙලා පැන්සල දිහා බැලුවා,මුනුබුරා පුදුම වෙලා පැන්සල දිහා බැලුවා
එකේ කිසිම අමුත්තක් එයා දැක්කේ නෑ,එකේ කිසිම අමුත්තක් එයා දැක්කේ නෑ
මම දැකලා තියෙන ඕනෑම පන්සලක් වගේ කියා මුනුබුරා කිව්වා,මම දැකලා තියෙන ඕනෑම පන්සලක් වගේ කියා මුනුබුරා කිව්වා
ඒ ඔයා ඒක දිහා බලන හැටියටයි,ඒ ඔයා ඒක බලන විදිය
ටිකක් හිතලා බලන්නකෝ,ටික හිතනවා බලනවා
පැන්සලක තියෙනවා ගුණාංග පහක්,පැන්සල තියෙනවා ගුණාංග පහ
ඔයාත් ගුණාංග පහ පුරුදු වුණොත් ඔයාත් අනාගතේ හොඳ මනුස්සයෙක් වෙයි,ඔයා ගුණාංග පහ පුරුදුවෙනවා ඔයා අනාගතය හොඳ මනුස්සයා
අනේ ආච්චි කියන්නකෝ,අනේ ආච්චි කියනවා
හොඳ මනුස්සයෙක් වෙන්න ඕනෑ කරන ඒ ගුණාංග පහ මොනවාද කියලා,හොඳ මනුස්සයා ඕනා ඒ ගුණාංග පහ මොනවාද
පැන්සලේ ගුණ කියන්න පටන් ගත්තා,පැන්සල ගුණ කියනවා පටන්ගන්නවා
පැන්සලකින් ලියන්න නම් මේක අල්ලා ගන්න අතක් ඕනා,පැන්සල ලියන්න නම් මේක අල්ලාගන්නවා අත ඕනා
පැන්සලකට බෑ තනියෙන් ලියන්න,පැන්සල බෑ තනියෙන් ලියනවා
කාගේ හරි අතක් ඕනා ඒක අල්ලගන්න,කාගේ අත ඕනා ඒක අල්ලගන්නවා
ඒ වගේ වැඩ වලදී සහයෝගයෙන් කටයුතු කරන්න ඔයා ඉගෙනගන්න ඕනා,ඒ වැඩ සහයෝගය කටයුතුකරනවා ඔයා ඉගෙනගන්නවා ඕනා
එතකොට තමා ඔයා කරන දේ සාර්ථක වෙන්නෙ,එතකොට ඔයා කරනවා දේ සාර්ථකවෙනවා
ලියනකොට පැන්සලේ තුඩ මොටවෙනවා,ලියනවා පැන්සල තුඩ මොටවෙනවා
එහෙම වුණාම ලිවීම නවත්තලා ඒක ආයේ උල් කරගන්න ඕනෑ,එහෙම වෙනවා ලියනවා නවත්තනවා ඒක නැවතත් උල්කරගන්නවා ඕනෑ
එහෙම කරනකොට කොට පැන්සලට ටිකක් රිදේවි,එහෙම කරනවා පැන්සල ටික රිදෙනවා
ඒත් ඊට පස්සේ ඒක වඩාත් හොඳින් ලියාවි,ඒත පස්සේ ඒක ගොඩාක් හොඳි ලියනවා
ඒ වගේ ඔයාටත් ඉවසාගන්න සිදුවේවි,ඒ වගේ ඔයා ඉවසාගන්නවා සිදුවෙනවා
හැබැයි ඊට පස්සේ ඔයා වඩාත් හොඳ කෙනෙක් වේවි,හැබැයි ඊට පස්සේ ඔයා ගොඩාක් හොඳ කෙනෙක්
පැන්සලෙන් ලියනකොට මොකක් හරි වැරද්දක් වෙන්න පුලුවන්,පැන්සල ලියනවා මොකක් වැරද්ද පුලුවන්
එහෙම වුනොත් මකාගන්න පුලුවන්,එහෙම මකාගන්නවා පුලුවන්
අන්න ඒ වගේ ඔයාත් අතින් වැරැද්දක් වුනොත් ඒක හදා ගන්න ඕනා,ඒ ඔයා අනිත් ඔයා අත වැරැද්ද ඒක හදාගන්නවා ඕනා
වැරැද්ද හදා ගැනීම නරක දෙයක් නෙවෙයි,වැරැද්ද හදනවා ගන්නවා නරක නෑ
අපිට හරි පාරේ යෑමට ඒක උදව් වේවි,අපිට හරි පාර යනවා ඒක උදව්කරනවා
පැන්සලේ වටිනාම කොටස මොකක්ද එළියේ පේන්න තියෙන හැඩද එකක්වත් නෙවෙයි,පැන්සල වටිනා කොටස මොකක්ද එළිය පේනවා තියෙනවා හැඩ එකක්වත් නෑ
ඒක ඇතුලේ තියෙන කූර,ඒක ඇතුල තියෙනවා කූර
ඔයත් වටිනාම කොටස ඔයාගේ පෙනුමවත් හමේ පාටවත් නෙවෙයි,ඔයා වටිනා කොටස ඔයා පෙනුම හම පාට නෑ
ඔයා තුළ තිබෙන හොඳ ගතිගුණ,ඔයා තුළ තිබෙනවා හොඳ ගතිගුණ
පැන්සලෙන් ලිව්වාම ඒ ලියපු දේ ඉතුරු වෙනවා,පැන්සල ලියනවා ඒ ලියනවා දේ ඉතුරුවෙනවා
අන්න ඒ වගේ ඔයා යමක් කලාම ඒ කරපු දේ ඉතුරු වෙනවා,අන්න ඒ ඔයා කරනවා ඒ කරනවා දේ ඉතුරුවෙනවා
ඒ නිසා ඔයා කරන හැම දේම කල්පනාවෙන් කරන්න,ඒ නිසා ඔයා කරනවා හැමදේම කල්පනාව
පැන්සලේ පැන්සල හරි කෙලින් ඉදිකටුවක් වගෙයි,පැන්සල පැන්සල හරි කෙලින් ඉදිකටුව
ඔයා පැන්සලක් වගේ හරි කෙලින් ඉන්න කෙලින් කටයුතු කරන්න,ඔයා පැන්සල හරි කෙලින් ඉන්නවා කෙලින් කටයුතුකරනවා
අවංක වෙන්න,අවංක වෙනවා
ඒ කාලයේ මිනිසෙක් සිටියා,ඒ කාලය මිනිසා ඉන්නවා
ඔහු වෙළඳාම් ජීවත් වුණා,ඔහු වෙළඳාම් ජීවත්වෙනවා
ඔහු භාණ්ඩ විකුණුවා,ඔහු බඩු විකුණනවා
එය කලින් නොගිය ප්‍රදේශයක්,එය කලින් යනවා නෑ ප්‍රදේශය
ඒ අතරමග ලොකු කැලයක් තිබුණා,ඒ අතරමග ලොකු කැලය තියෙනවා
එය ලොකු ගස් වලින් මල් වලින් පිරී තිබුණා,එය ලොකු ගස් මල් පිරෙනවා තියෙනවා
කැලයට ඇතුළු වීමට පෙර ඔහු තම යහළුවන් අමතා අවවාදයක් දුන්නා,කැලය ඇතුළුවෙනවා පෙර ඔහු තම යහළුවෝ අමතනවා අවවාදය දෙනවා
කැලේ විෂ ගස් තියෙනවා,කැලය විෂ ගස් තියෙනවා
විෂ පලතුරු තියනවා,විෂ පලතුරු තියනවා
විෂ මල් තියනවා විෂ කොළ තියෙනවා,විෂ මල් තියනවා
ඒ නිසා මට පෙන්නන්නේ නැතුව කිසිවක් කන්න එපා,ඒ මට පෙන්නනවා නෑ කන්න එපා
මේ කණ්ඩායම කැලයෙක් කෙළවරට පැමිණියා,මේ කණ්ඩායම කැලය කෙළවර පැමිණෙනවා
ඒ ආසන්නයේ තිබුණේ ගම්මානයක්,ඒ ආසන්නය තියෙනවා ගම
මේ කණ්ඩායම ලොකු ගසක් දුටුවා,මේ කණ්ඩායම කණ්ඩායම ලොකු ගස දකිනවා
ඒ අඹ ගසක් හා සමානයි,ඒ අඹ ගස සමාන
ඒ ගසේ ගෙඩි අඹ ගෙඩි හා සමානයි,ඒ ගස ගෙඩි අඹ ගෙඩි සමාන
කොළ ද අඹ කොළ හා සමානයි,කොළ අඹ කොළ සමාන
සුවඳ ද අඹ සුවඳමය,සුවඳ අඹ සුවඳ
ගස ගෙඩිවලින් පිරී තිබුණා,ගස ගෙඩි පිරෙනවා
කීප දෙනෙක් මේ ගසේ ගෙඩි කඩාගෙන කෑවා,කීපදෙනා මේ ගස ගෙඩි කඩනවා කනවා
සමහර අයට ඔහුගේ අවවාදය සිහිපත් වුණා,සමහරු ඔහු අවවාදය මතක්වෙනවා
ඔවුන් ගෙඩි කීපයක් කඩාගෙන ඔහු වෙතට ගොස් මෙසේ ඇහුවා,ඔවුන් ගෙඩි කීපයක් කඩනවා ඔහු ළඟ යනවා අහනවා
මේ අඹ වර්ගය කෑවාට වරදක් නැද්ද,මේ අඹ වර්ගය කනවා වරද නෑ ද
ඔහු ගස ළඟට පැමිණ ගසද හොඳින් පරීක්ශා කරා,ඔහු ගස ළඟ පැමිණියා ගස හොඳි පරීක්‍ශාකරනවා
අනතුරුව මෙහෙම කිව්වා,පස්සේ මෙහෙම කිව්වා
මෙය අඹ ගසක් මෙන් පෙනුනත් අඹ ගසක් නොවේ,මෙය අඹ ගස පෙනෙනවා අඹ ගස නෑ
මේ විෂ ගසකි,මේ විෂ ගස
ඔබ කඩාගත් ගෙඩි වහා ඉවත් කරන්න,ඔබ කඩනවා ගෙඩි වහා ඉවත්කරනවා
තිබූ අය ඒවා වහාම අයින් කරා,තියෙනවා අය ඒවා ඉක්මනින් ඉවත්කරනවා
සමහරු ගෙඩි කෑ බව ඔහුට දැනගන්න ලැබුණා,සමහරු ගෙඩි කෑ බව ඔහුට දැනගන්නවා ලැබෙනවා
මේ ගෙඩි කෑව අයට වහා වමනය කරවන්න,මේ ගෙඩි කනවා අය වහා වමනයකරනවා
ඒ අයට බෙහෙත් ලබා දෙන්න,ඒ අය බෙහෙත් දෙනවා
ඔහු අණ කලා,ඔහු අණකරනවා
අනිත් අය ඒ ආකාරයට කටයුතු කරපු නිසා ගෙඩි කෑ අය සුවපත්වුනා,අනිත් ඒ ආකාරය කටයුතුකරනවා නිසා ගෙඩි කනවා අය සුවපත්වෙනවා
රාත්‍රිය ගතවී පසු දිනය උදාවුණා,රාත්‍රිය ගතවී පසු දිනය උදාවෙනවා
උදෑසනම ගම්වැසියෝ මේ ගස අසලට දුවගෙන ආවා,උදෑසන ගම පුද්ගලයා මේ ගස අසල දුවනවා එනවා
දුටු දෙයින් ඔවුන් විස්මයට පත්වුණා,දකිනවා දෙය ඔවුන් විස්මය පත්වවෙනවා
ඔවුන් හොඳින් තම වැඩ කරමින් ගමනට සූදානම් වුණා,ඔවුන් හොඳි තම වැඩකරනවා ගමන සූදානම්වෙනවා
කලින් වතාවලදි වෙළඳාමේ ආ අය මේ තැන නවතැන් ගත්තා,කලින් වෙළඳාම එනවා අය මේ තැන නවතිනවා
පස්සේ අසල ගම්මානෙ අය පැමිණ ඔවුන් සතු සියලු වස්තුව ගැල් ගවයන් ද රැගෙන ගියා,පස්සේ අසල ගම පැමිණෙනවා ඔවුන් ළඟ සියලු වස්තුව කරත්තය ගවයා රැගෙනයනවා
ඔබ මේ ගසේ ගෙඩි අනුභව නොකළේ ඇයි,ඔබ මේ ගස ගෙඩි අනුභවකරනවා නෑ ඇයි
ඒවා විෂ සහිත බව දැනගත්තේ කෙසේද,ඒවා විෂ දැනගන්නවා කෙසේද
ගම්වැසියෝ කණ්ඩායමෙන් ඇහුවා,ගම්වැසියෝ කණ්ඩායම අසනවා
ගසේ ගෙඩි විෂ සහිත බව නායකතුමා දැනගත්තා,ගස ගෙඩි විෂ තියෙනවා නායකතුමා දැනගන්නවා
ඒ නිසා අපි බේරුනා,ඒ අපි බේරෙනවා
ඔවුන් පිළිතුරු දුන්නා,ඔවුන් පිළිතුරුදෙනවා
ඔබ මේ විෂ සහිත ගසක් බව දැනගත්තේ කොහොමද,ඔබ මේ විෂ ගස දැනගන්නවා කොහොමද
මෙහෙම පිළිතුරු දුන්නා,මෙහෙම පිළිතුරු දෙනවා
කරුණු කීපයක් නිසා මේ ගස විෂ ඇති බව දැන ගත්තා,කරුණු කීපයක් මේ ගස විෂ තියෙනවා දැනගන්නවා
ගස ඇත්තේ ගම ආසන්නයේ,ගස ඇත්තේ ගම ආසන්නය
ඒත් ගසේ ඉදුනු ගෙඩි පිරී ඇත,ගස ඉදුනු ගෙඩි පිරෙනවා තියෙනවා
ඉදී වැටුණු නරක් වුණ ගෙඩි ගස යටද පිරී ඇත,ඉදී වැටෙනවා නරක ගෙඩි ගස යට පිරෙනවා
ඒ ගම්වැසියන් මේ ගසේ ගෙඩි නොකන නිසා ඔවුන් ඒවා නොකන්නේ විෂ සහිත නිසා බව සිතුවා,ඒ ගම්වැසියන් මේ ගස ගෙඩි කනවා නෑ ඔවුන් ඒවා කනවා නෑ විෂ තියෙනවා හිතනවා
වස්තුව බෙදා ගැනීමට ආ ගම්වැසියන්ට හිස් අතින් ආපසු යන්නට වුණා,වස්තුව බෙදාගන්නවා එනවා ගම්වැසියන් හිස් අත ආපසු යනවා
නායකතුමාගේ නුවණ නිසා ගැලකරුවෝ තම ජීවිතය බේරාගත්තා,නායකතුමා නුවණ කරත්තය තම ජීවිතය බේරාගන්නවා
කතන්දර පොතක් කියෙව්වා,කතන්දර පොත පොතබලනවා
පිටුවෙන් පිටුව කියවන්න ආසයි,පිටුව පිටුව පොතබලනවා කැමති
ඊළඟට මොකක් වෙයිද කියල හිතා ගන්න බෑ,ඊළඟට මොකක්ද වෙයිද කියල හිතනවා බෑ
පොත ඉක්මනට කියෙව්වා,පොත ඉක්මනින් කියෙව්වා
කතාව හරිම ලස්සනයි,කතාව ගොඩාක් ලස්සන
ඒ පොතේ නම කුඩා හොරා,ඒ පොත නම කුඩා හොරා
මම කියවූ පොත් ලැයිස්තුවට මේ කතන්දර පොතේ නමත් ලියා ගත්තා,මම පොතබලනවා පොත ලැයිස්තුව මේ කතන්දර පොත නම ලියනවා
ගෙදර වැඩට රචනාවක් ලියන්න දුන්නා කුරුලු ලෝකය ගැන,ගෙදර වැඩ රචනාව ලියනවා දෙනවා කුරුල්ලා ලෝකය
හොඳම රචනාව බිත්ති පුවත්පතට තෝරගන්නවා කිව්වා,හොඳ රචනාව බිත්ති පුවත්පත තෝරගන්නවා කියනවා
මම පිරිසුදුව පැහැදිලි අකුරෙන් රචනාව ලිව්වා,මම පිරිසුදු පැහැදිලි අකුර රචනාව ලියනවා
ඔක්කොම ආයෙ කියව්වා,ඔක්කොම ආයෙ පොතබලනවා
වැරැද්දක් තිබුණේ නෑ,වැරදි තියෙනවා නෑ
හෙට පාසලට ගෙනියනවා,හෙට පාසල ගෙනියනවා
බිත්ති පුවත්පතට මගේ රචනාව තේරුනා,බිත්ති පුවත්පත මගේ රචනාව තේරෙනවා
මට සතුටු හිතුණා,මට සතුට හිතෙනවා
ගෙදර ගියේ ඒ ගැන අම්මාට කියන්න,ගෙදර යනවා ඒ ගැන අම්මා කියනවා
මාමාත් අපේ ගෙදර ඇවිත් හිටියා,මාමා අපේ ගෙදර එනවා ඉන්නවා
දෙන්නාටම මම රචනාව ගැන කිව්වා,දෙක මම රචනාව කියනවා
ඒ අයත් සතුටු වුණා,ඒ අය සතුට වෙනවා
පාසල ඉවර වෙලා ගෙදර එද්දී ළමයෙකුට කෙසෙල් ලෙල්ලක් පෑගුනා,පාසල ඉවර ගෙදර එනවා ළමයා කෙසෙල් ලෙල්ල පෑගෙනවා
ළමයා ලිස්සා වැටුනා,ළමයා ලිස්සනවා වැටෙනවා
පාරේ කෙසෙල් ලෙලි දාන්න හොඳ නැති බව ගුරුතුමිය දවසක් කිව්වා,පාර කෙසෙල් ලෙලි දානවා හොඳ නෑ ගුරුතුමිය දවස කියනවා
මට ඒ වෙලාවේ මතක් වුනා,මට ඒ වෙලාව මතක වෙනවා
මම ඉක්මනට දුවලා ගිහින් ඒක ළඟ තිබුණු කසල බඳුනට දැම්මා,මම ඉක්මනින් දුවනවා යනවා ඒක ළඟ තියෙනවා කසල බඳුන දානවා
ගෙදර ඇවිත් මම ඒ සිද්ධිය චිත්‍රයට නැඟුවා,ගෙදර එනවා මම ඒ සිද්ධිය චිත්‍රඅඳිනවා
මාමාට පෙන්වා පාට කරලා පත්තරේට යවමු කියලා මාමා කිව්වා,මාමා පෙනනනවා පාට කරනවා පත්තර යවනවා මාමා කියනවා
මට හරිම සතුටුයි,මට ගොඩාක් සතුට
මම චිත්‍රය පාට කලා,මම චිත්‍රය පාටකරනවා
ගස් වැල් අඹරමින් සුළඟ හැමුවා,ගස් වැල් අඹරනවා සුළඟ හමනවා
අවට අඳුරු වුනා,අවට අඳුරු වෙනවා
එකපාරටම හයියෙන් වහින්න ගත්තා,එකපාර හයියෙන් වහිනවා
විදුල එලි අහසේ විහිදුනා,විදුලි එළිය අහස විහිදුනා
මහා හඬින් ගෙරෙව්වා,මහා හඬ ගොරවනවා
එළියට බහින්නවත් බෑ,එළිය බහිනවා බෑ
මාමා ගමේ යන්න පාන්දරම සූදානම් වුණා,මාමා ගමේ යනවා පාන්දර සූදානම්වෙනවා
මමත් පාසලට ගියා,මම පාසල යනවා
ගැඹුරු විලේ මඩ වගුරේ පා එරිලා හඬ නගති,ගැඹුරු විල මඩ වගුර පා එරෙනවා හඬ
ගොඩ එන්නට බැරුව දුකින් සිවුපාවෝ කල් ගෙවති,ගොඩ එනවා බෑ දුක සිවුපාවෝ කාලය ගෙවනවා
විෂ කොළ තියෙනවා,විෂ කොළ තියෙනවා
ඔවුන් ගෙඩි අනුභව කොට මියගියා,ඔවුන් ගෙඩි කනවා මියයනවා
එක්කෝමත් එක රටක ලොකු කැලෑවක කොරවක්කෝ කියලා කියන කුරුල්ලෝ ටිකක් හිටියා,එක්කෝමත් එක රට ලොකු කැලෑව කොරවක්කා කුරුල්ලා ටික ඉන්නවා
එකෝමත් එක දවසක කොරවක්කී කොරවක්කා දැකලා කතා කරලා කීවා,එකෝමත් එක දවස කොරවක්කා කොරවක්කා දකිනවා කතාකරනවා කියනවා
අපේ කොරවක් පැටික්කිට අකුරු කියවන්න කාලෙ හරි කියලා,අපේ කොරවක්කා පැටියා අකුර පොතබලනවා කාලය හරි
කොරවක්කා කන්දක් උඩක ගහකින් අත්තකට නැගලා හයියෙන් කෑ ගහලා කීවා,කොරවක්කා කන්ද උඩ ගහ අත්ත නගිනවා හයියෙන් කෑගහනවා කියනවා
අනිත් කුරුල්ලන්ට කරුණාකරලා අකුරු කියවන නැකතට හැමෝම එන්න කියලා,අනිත් කුරුල්ලා කරුණාකර අකුර පොතබලනවා නැකත හැමෝම එනවා
අකුරු කියවන නැකතට කැලේ ඔක්කොම කුරුල්ලෝ ආවා,අකුර පොතබලනවා නැකත කැලය ඔක්කොම කුරුල්ලා එනවා
අකුරු කියවන්න කීවේ බකමූණාට,අකුර පොතබලනවා බකමූණා
බකමූණා කොරවක් පැටික්කිට කතා කරලා කිව්වා,බකමූණා කොරවක්කා පැටියා කතාකරනවා කියනවා
කොරවක්කන්ට මේතාක් කල් අකුරු කියවන්න බැරි කාරණාවක් ඕක,කොරවක්කා මේ කාලය අකුර කියවනවා බෑ හේතුව ඒක
ආකාසේ නිල් තරු කැට,අහස නිල් තරු
පියාඹලා මහපොළොවට,පියාඹනවා මහ පොළව
සේපාලිකා මල් ගහ උඩ,සේපාලිකා මල් ගහ උඩ
දිලිසෙනවා කදිමට,දිලිසෙනවා කදිම
මාල පොටක් පොඩි නංගිට,මාල පොට පොඩි නංගි
හදලා දෙන්න පුළුවනි මට,හදනවා දෙනවා පුලුවන් මට
නූල්පොටක් අරන් අතට,නූල්පොටක් අරගන්නවා අත
හෙමින් ගියා ගහ ගාවට,හෙමින් ගියා ගහ ළඟ
සර සර ගා එක් රෑනට,සර සර ගා එක රෑන
ඉගිල්ලුනා නිල් තරු කැට,ඉගිල්ලුනා නිල් තරු කැට
කණාමැදිරියනි ආයෙත්,කණාමැදිරියෝ නැවතත්
සමාවෙලා එන්න බිමට,සමාවෙනවා එනවා බිම
ඔහු යාළුවෝ සමඟ මිදුලේ සෙල්ලම් කරමින් සිටියා,ඔහු යාළුවෝ සමඟ මිදුල සෙල්ලම්කරනවා ඉන්නවා
පුතා යාළුවෝ සමඟ මෙහෙට එන්න,පුතා යාළුවෝ සමඟ මෙහෙ එනවා
අම්මා කතා කළා,අම්මා කතාකරනවා
ඔහු යාළුවෝ සමඟ ගෙදර ඇතුලට ආවා,ඔහු යාළුවෝ සමඟ ගෙදර ඇතුල එනවා
අම්මා රූපවාහිනිය බලනවා,අම්මා රූපවාහිනිය බලනවා
රූපවාහිනියේ ලොකු උත්සවයක් පේනවා,රූපවාහිනිය ලොකු උත්සවය පේනවා
හමුදා පෙළපාලි යුද ටැංකි අහසේ කරණම් ගසන ගුවන් යානා තවත් බොහෝ දේවල් රූපවාහිනියේ පෙන්නනවා,හමුදා පෙළපාලි යුද ටැංකි අහස කරණම්ගසනවා ගුවන්යානාව තවත් ගොඩාක් දේවල් රූපවාහිනිය පෙන්නනවා
ඔහුටයි ඔහුගේ යාලුවන්ට මේක හරිම පුදුමයක්,ඔහු ඔහු යාලුවෝ මේක ගොඩාක් පුදුමය
ඒ හින්දා එක්කෙනෙක් ප්‍රශ්නයක් ඇහුවා,ඒ හින්දා එක්කෙනෙක් ප්‍රශ්නය අහනවා
මොකක්ද නැන්දේ මේ උත්සවය,මොකක්ද නැන්දා මේ උත්සවය
ඒ පුතේ අපේ රටේ නිදහස් උත්සවය,ඒ පුතා අපේ රට නිදහස් උත්සවය
මොකක්ද නිදහස් උත්සවය කියන්නේ,මොකක්ද නිදහස් උත්සවය කියනවා
ඒ ප්‍රශ්නය ඇහුවෙත් ඇය,ඒ ප්‍රශ්නය අහනවා ඇය
හැමෝම අහගන්නකෝ,හැමෝම අහගන්නවා
ඔහුගේ අම්මා උත්තර දෙන්න සූදානම් වුණා,ඔහු අම්මා උත්තරදෙනවා සූදානම්
නිදහස ලැබුණේ 1948 පෙබරවාරි හතර,නිදහස ලැබෙනවා 1948 පෙබරවාරි හතර
ඊට පස්සේ හැම අවුරුද්දකම පෙබරවාරි හතර වැනිදා අපි නිදහස් දිනය සමරනවා,ඊට පස්සේ හැම අවුරුද්ද පෙබරවාරි හතර අපි නිදහස දිනය සමරනවා
ඒක අපේ රටේ පවත්වන ජාතික උත්සවය නිසා ද අම්මේ තාත්තා ද ජාතික කොඩියක් එල්ලුවේ,ඒක අපේ රටේ පවත්වනවා ජාතික උත්සවය නිසා ද අම්මා තාත්තා ද ජාතික කොඩිය එල්ලනවා
ඒ ප්‍රශ්නය ඇහුවේ ඔහු,ඒ ප්‍රශ්නය අහනවා ඔහු
අන්න හරි,අන්න හරි
නිදහස් දිනය දවසට ශ්‍රී ලංකාවේ අපි හැමෝම හැම ගෙදරකම ජාතික කොඩිය ප්‍රදර්ශනය කරනවා,නිදහස් දිනය දවස ශ්‍රී ලංකාව අපි හැමෝම හැම ගෙදර ජාතික කොඩිය ප්‍රදර්ශනයකරනවා
නිදහස් දිනය කියන්නෙ අපේ අභිමානය ලෝකෙටම පෙන්නන දවසක්,නිදහස් දිනය කියනවා අපේ අභිමානය ලෝකය පෙන්නනවා දවස
ඒ ජාතික උත්සවය තමයි පුතේ රූපවාහිනී පෙන්නන්නේ,ඒ ජාතික උත්සවය පුතා රූපවාහිනිය පෙන්නනවා
ඔහුගේ අම්මා උත්තර දුන්නා,ඔහු අම්මා උත්තරදෙනවා
යාළුවෝ හැමදෙනාම නිදහස් උත්සවය බැලුවා,යාළුවෝ හැමදෙනාම නිදහස් උත්සවය බලනවා
මම ඉපදුනේ කොළයක,මම ඉපදෙනවා කොළය
මම එළියට ආවේ පුංචි බිත්තරයකින්,මම පිටත එනවා පුංචි බිත්තරය
බඩගින්නක් ආවාම මම ටිකෙන් ටික කොළය කෑවා,බඩගින්න එනවා මම ටික ටික කොළය කනවා
ඒත් බඩ පිරුණේ නෑ,එහෙත් බඩ පිරෙනවා නෑ
මම තවත් කොළයක් කෑවා,මම තව කොළය කනවා
ඒ විතරක් නෙවෙයි රසම රස මල් පොහොට්ටුත් කෑවා,ඒ විතරක් නෑ රස රස මල් පොහොට්ටු කනවා
හොඳටම බඩ පිරුනා,හොඳ බඩ පිරෙනවා
මට නිදිමතක් දැනුනා,මට නිදිමත දැනෙනවා
මම සිනිඳු රෙද්දක් පොරවාගත්තා,මම සිනිඳු රෙදි පොරවාගන්නවා
ඒකට කියන්නේ කෝෂය කියලා,ඒක කියනවා කෝෂය
මම කෝෂය ඇතුලේ සති දෙකක් විතර හිටියා,මම කෝෂය ඇතුල සතිය දෙක විතර ඉන්නවා
